"Breakfast_name","Lunch_name","Dinner_name"
"Biscuit","",""
"Buffalo Tofu Scramble","",""
"French Toast Sticks","",""
"Grits","",""
"Hard Boiled Egg","",""
"Maple Syrup","",""
"Peppered Cream Gravy","",""
"Roasted Italian Vegetables","",""
"Scrambled Eggs","",""
"Sliced Breakfast Ham","",""
"Tater Tots","",""
"Vegetarian Breakfast Patty","",""
"Banana","",""
"Fresh Orange","",""
"Gala Apple","",""
"Granny Smith Apple","",""
"Blueberries","",""
"Cantaloupe","",""
"Diced Honeydew","",""
"Fresh Red Grapes","",""
"Grapefruit Halves","",""
"Lowfat Cottage Cheese","",""
"Mandarin Oranges","",""
"Mango","",""
"Plain Greek Yogurt","",""
"Poppyseed Cake","",""
"Strawberry Goat Cheese Scone","",""
"Vanilla Yogurt","",""
"","Pumpkin Spice Latte Bar",""
"","English Muffin",""
"","Scrambled Eggs",""
"","Sliced Breakfast Ham",""
"","Tater Tots",""
"","Vegetarian Breakfast Patty",""
"","Baked Potato",""
"","Cilantro",""
"","Crispy Bacon Pieces",""
"","Pulled Thai Chicken",""
"","Shredded Cheddar Cheese",""
"","Sliced Green Onion",""
"","Sour Cream",""
"","Sweet Potato Tater Tots",""
"","Whipped Honey Butter",""
"","Black Bean Soup",""
"","Canadian Cheese Soup",""
"","Wheat Dinner Roll",""
"","Black Beans",""
"","Cherry Tomatoes",""
"","Chopped Hard Boiled Egg",""
"","Chopped Romaine Lettuce",""
"","Craisins",""
"","Cucumber Slices",""
"","Diced Turkey Breast",""
"","Fresh Spinach",""
"","Green Chile Hummus",""
"","Quinoa Cranberry Salad",""
"","Raw Broccoli Florets",""
"","Shredded Carrots",""
"","Shredded Cheddar Cheese",""
"","Sliced Red Onion",""
"","Tofu",""
"","Blueberries",""
"","Cantaloupe",""
"","Diced Honeydew",""
"","Fresh Orange Wedges",""
"","Fresh Red Grapes",""
"","Kiwi",""
"","Lowfat Cottage Cheese",""
"","Mandarin Oranges",""
"","Mango",""
"","Pineapple Tidbits",""
"","Plain Greek Yogurt",""
"","Funfetti Cupcake",""
"","Lemon Squares",""
"","Dinner Roll",""
"","Homestyle Mashed Potatoes",""
"","London Broil",""
"","Mushroom Bordelaise Sauce",""
"","Roasted Italian Vegetables",""
"","Vegetable Lasagna",""
"","Charro Beans",""
"","Chile Con Queso",""
"","Diced Tomato",""
"","Jalapeno Pepper Slices",""
"","Pico de Gallo",""
"","Southwestern Corn & Beans",""
"","Tortilla Chips",""
"","Turkey Taco Filling",""
"","Cheeseburger",""
"","Chicken Fried Steak Strips",""
"","Grilled Chicken Sandwich",""
"","Halal Grilled Chicken Breast",""
"","Halal Hamburger Patty",""
"","Leaf Lettuce",""
"","Peppered Cream Gravy",""
"","Spicy Black Bean Burger",""
"","Tater Tots",""
"","Thin Sliced Tomatoes",""
"","Cheese Pizza",""
"","Chicken Bacon Ranch Pizza",""
"","Classic Italian Pizza",""
"","Kale & Pesto Pizza",""
"","Pepperoni Pizza",""
"","Vegan ""Cheese"" Pizza",""
"","Chicken Stir Fry w/ Szechuan Sauce",""
"","Fried Tofu",""
"","Pork Pot Stickers",""
"","Steamed White Rice",""
"","Stir Fry Vegetable Blend",""
"","California Grilled Cheese",""
"","Chicken Noodle Soup",""
"","Grilled Cheese on Texas Toast",""
"","Maple Roasted Acorn Squash",""
"","Roasted Brussels Sprouts",""
"","Spiced Apples",""
"","Warm Quinoa Cranberry Salad",""
"","","Baked Potato"
"","","Cilantro"
"","","Crispy Bacon Pieces"
"","","Pulled Thai Chicken"
"","","Shredded Cheddar Cheese"
"","","Sliced Green Onion"
"","","Sour Cream"
"","","Sweet Potato Tater Tots"
"","","Whipped Honey Butter"
"","","Black Bean Soup"
"","","Canadian Cheese Soup"
"","","Wheat Dinner Roll"
"","","Black Beans"
"","","Cherry Tomatoes"
"","","Chopped Hard Boiled Egg"
"","","Chopped Romaine Lettuce"
"","","Craisins"
"","","Cucumber Slices"
"","","Diced Turkey Breast"
"","","Fresh Spinach"
"","","Green Chile Hummus"
"","","Quinoa Cranberry Salad"
"","","Raw Broccoli Florets"
"","","Shredded Carrots"
"","","Shredded Cheddar Cheese"
"","","Sliced Red Onion"
"","","Tofu"
"","","Blueberries"
"","","Cantaloupe"
"","","Diced Honeydew"
"","","Fresh Orange Wedges"
"","","Fresh Red Grapes"
"","","Kiwi"
"","","Lowfat Cottage Cheese"
"","","Mandarin Oranges"
"","","Mango"
"","","Pineapple Tidbits"
"","","Plain Greek Yogurt"
"","","Funfetti Cupcake"
"","","Mint Oreo Cheesecake Bar"
"","","Sour Cream Cake"
"","","Boston Baked Beans with Bacon"
"","","Collards, Bacon & Cabbage"
"","","Potato Salad"
"","","Roasted Pork Loin"
"","","White Bread"
"","","White Chicken Chili"
"","","Charro Beans"
"","","Chile Con Queso"
"","","Diced Tomato"
"","","Jalapeno Pepper Slices"
"","","Pico de Gallo"
"","","Southwestern Corn & Beans"
"","","Tortilla Chips"
"","","Turkey Taco Filling"
"","","Cheeseburger"
"","","Chicken Fried Steak Strips"
"","","Grilled Chicken Sandwich"
"","","Halal Grilled Chicken Breast"
"","","Halal Hamburger Patty"
"","","Leaf Lettuce"
"","","Peppered Cream Gravy"
"","","Spicy Black Bean Burger"
"","","Tater Tots"
"","","Thin Sliced Tomatoes"
"","","Cheese Pizza"
"","","Chicken Bacon Ranch Pizza"
"","","Classic Italian Pizza"
"","","Kale & Pesto Pizza"
"","","Pepperoni Pizza"
"","","Vegan ""Cheese"" Pizza"
"","","Chicken Stir Fry w/ Szechuan Sauce"
"","","Fried Tofu"
"","","Pork Pot Stickers"
"","","Steamed White Rice"
"","","Stir Fry Vegetable Blend"
"","","Broccoli w/ Red Peppers"
"","","Mountain Red Grain Blend"
"","","Steamed Edamame"
"","","Sweet and Sour Chickpeas"
